REGIONC,DIVISION,state_name,BA_climate,TYPEHUQ,YEARMADERANGE,WALLTYPE,SWIMPOOL,RECBATH,FUELTUB,RANGEFUEL,OUTGRILLFUEL,DWASHUSE,DRYRFUEL,EQUIPM,FUELHEAT,FUELH2O,MONEYPY,CARBFTP
2,7,46,5,2,3,1,1,0,-2,5,23,3,5,3,1,1,14,[75.22096026]
3,6,4,1,2,5,4,1,1,-2,13,23,1,1,3,1,1,13,[37.98652401]
0,8,16,5,2,8,6,1,1,2,-2,2,5,5,4,5,5,16,100.0
0,8,25,5,2,4,3,1,0,-2,5,23,5,5,3,5,5,14,[77.32480164]
1,2,32,5,4,3,1,-2,1,-2,1,-2,-2,-2,3,1,1,13,100.0
1,2,38,0,2,7,3,0,1,5,5,2,4,5,4,5,2,15,100.0
2,9,43,2,2,7,1,1,1,1,1,-2,2,1,3,1,1,16,100.0
2,7,20,5,2,7,3,0,1,5,1,2,7,5,3,1,1,15,[68.92275469]
1,2,30,5,2,6,3,0,1,-2,1,1,15,5,3,1,1,15,[68.92648315]
2,9,18,2,2,2,3,1,0,-2,1,2,7,1,99,1,1,8,[66.09303424]
2,7,7,5,2,7,3,1,1,-2,-2,2,10,5,3,1,5,14,[81.75254421]
0,0,14,0,2,5,3,0,1,5,1,2,2,1,3,1,1,15,100.0
3,6,4,1,2,3,4,0,1,1,-2,-2,1,1,3,1,1,13,[78.62581983]
2,7,9,2,5,4,7,-2,1,-2,5,-2,1,-2,-2,-2,5,12,[51.88082125]
1,2,32,0,2,6,3,0,1,5,1,2,9,1,3,1,1,15,100.0
0,0,35,5,2,2,1,0,1,-2,1,-2,0,5,3,1,5,16,100.0
2,9,3,5,2,5,2,1,0,-2,-2,2,5,5,3,2,2,9,[55.85131917]
2,9,43,2,2,8,1,1,0,-2,-2,2,2,1,4,5,5,16,100.0
3,3,50,0,1,5,3,0,1,-2,5,23,-2,5,8,7,2,14,[87.27553133]
2,9,43,2,2,8,1,1,1,1,1,-2,7,1,3,1,1,16,100.0
3,6,11,2,2,5,2,1,1,-2,-2,2,2,5,-2,-2,8,15,100.0
1,5,6,0,2,1,3,1,0,-2,-2,2,7,5,3,3,1,15,100.0
1,2,32,5,3,3,4,0,1,-2,1,23,-2,1,2,1,1,15,[65.61687637]
